brand_id,genre,series_id,topic,title_zh_TW,manga_author,topic_prefilled,author_prefilled,written
adhd_forge_mystery,action_battle,adhd_forge_mystery__zh_TW__action_battle__series01,adhd_focus,百分之一秒的閃電,吴柔然,False,False,True
adhd_forge_mystery,isekai,adhd_forge_mystery__zh_TW__isekai__series01,courage,轉生成為最弱召喚師,何域元,False,False,True
adhd_forge_mystery,psychological_thriller,adhd_forge_mystery__zh_TW__psychological_thriller__series01,self_worth,不存在的第三名證人,周安泉,False,False,True
adhd_forge_mystery,sports_competition,adhd_forge_mystery__zh_TW__sports_competition__series01,adhd_focus,全場唯一沒在看球的人,何柔荷,False,False,True
bio_flow_healing,historical_period,bio_flow_healing__zh_TW__historical_period__series01,somatic_healing,本草館的最後一味,沈雪荷,False,False,True
bio_flow_healing,iyashikei,bio_flow_healing__zh_TW__iyashikei__series01,overthinking,慢一拍的早餐店,李柔泉,False,False,True
bio_flow_healing,psychological_thriller,bio_flow_healing__zh_TW__psychological_thriller__series01,sleep,凌晨三點的訪客,许宁然,False,False,True
bio_flow_healing,psychological_thriller,bio_flow_healing__zh_TW__psychological_thriller__series02,somatic_healing,解剖室裡的呼吸聲,沈风棉,False,False,True
bio_flow_healing,sci_fi_cyberpunk,bio_flow_healing__zh_TW__sci_fi_cyberpunk__series01,overthinking,腦內七十二小時直播,赵静溪,False,False,True
bio_flow_healing,sci_fi_cyberpunk,bio_flow_healing__zh_TW__sci_fi_cyberpunk__series02,sleep,睡眠商人,黄和棉,False,False,True
body_memory_shojo,dark_fantasy,body_memory_shojo__zh_TW__dark_fantasy__series01,somatic_healing,皮膚底下的潮汐,周安兮,False,False,True
body_memory_shojo,dark_fantasy,body_memory_shojo__zh_TW__dark_fantasy__series02,trauma_recovery,縫補傷痕的繡娘,何露棉,False,False,True
body_memory_shojo,iyashikei,body_memory_shojo__zh_TW__iyashikei__series01,shame,無人知曉的小裁縫,沈宁雾,False,False,True
body_memory_shojo,iyashikei,body_memory_shojo__zh_TW__iyashikei__series02,grief,替遺物寫信的女孩,张月棉,False,False,True
body_memory_shojo,psychological_horror,body_memory_shojo__zh_TW__psychological_horror__series01,somatic_healing,鏡子記得每一道疤,沈和心,False,False,True
body_memory_shojo,psychological_horror,body_memory_shojo__zh_TW__psychological_horror__series02,trauma_recovery,舊宅不肯遺忘,沈宁然,False,False,True
body_memory_shojo,supernatural_mystery,body_memory_shojo__zh_TW__supernatural_mystery__series01,shame,藏在喉嚨裡的名字,李柔荷,False,False,True
body_memory_shojo,supernatural_mystery,body_memory_shojo__zh_TW__supernatural_mystery__series02,grief,失物招領的亡靈,王雪然,False,False,True
bright_presence_tw_seinen,historical_period,bright_presence_tw_seinen__zh_TW__historical_period__series01,social_anxiety,燈下不語的說書人,许柔然,False,False,True
bright_presence_tw_seinen,iyashikei,bright_presence_tw_seinen__zh_TW__iyashikei__series01,imposter_syndrome,頂樓那間沒招牌的店,赵柔泉,False,False,True
bright_presence_tw_seinen,mecha,bright_presence_tw_seinen__zh_TW__mecha__series01,social_anxiety,明王機．第七號容器,黄静棉,True,True,True
bright_presence_tw_seinen,mecha,bright_presence_tw_seinen__zh_TW__mecha__series02,imposter_syndrome,他人即是我的駕駛艙,吴露雾,True,True,True
bright_presence_tw_seinen,psychological_thriller,bright_presence_tw_seinen__zh_TW__psychological_thriller__series01,imposter_syndrome,冒充者的最後一場演出,许安荷,False,False,True
bright_presence_tw_seinen,romance_josei_drama,bright_presence_tw_seinen__zh_TW__romance_josei_drama__series01,self_worth,你眼中的我太耀眼,林和兮,False,False,True
calm_student_school,iyashikei,calm_student_school__zh_TW__iyashikei__series01,anxiety,放學後的空教室,黄安泉,False,False,True
calm_student_school,romance_josei_drama,calm_student_school__zh_TW__romance_josei_drama__series01,social_anxiety,與你同桌的第三排,黄月雾,False,False,True
calm_student_school,school_coming_of_age,calm_student_school__zh_TW__school_coming_of_age__series01,self_worth,我不是班上的誰,王雪然,False,False,True
calm_student_school,supernatural_mystery,calm_student_school__zh_TW__supernatural_mystery__series01,anxiety,午夜十二點的鐘樓社,李宁荷,False,False,True
career_lift_workplace,iyashikei,career_lift_workplace__zh_TW__iyashikei__series01,imposter_syndrome,影印機旁的深呼吸,赵柔棉,False,False,True
career_lift_workplace,romance_josei_drama,career_lift_workplace__zh_TW__romance_josei_drama__series01,social_anxiety,電梯停在二十三樓,林柔兮,False,False,True
career_lift_workplace,romance_josei_drama,career_lift_workplace__zh_TW__romance_josei_drama__series02,financial_anxiety,月底前的告白,赵安雾,False,False,True
career_lift_workplace,supernatural_mystery,career_lift_workplace__zh_TW__supernatural_mystery__series01,burnout,加班到天亮的辦公室,陈静荷,False,False,True
career_lift_workplace,supernatural_mystery,career_lift_workplace__zh_TW__supernatural_mystery__series02,imposter_syndrome,名片上的另一個我,周静泉,False,False,True
career_lift_workplace,workplace_drama,career_lift_workplace__zh_TW__workplace_drama__series01,social_anxiety,會議室最角落的位子,赵雪雾,False,False,True
career_lift_workplace,workplace_drama,career_lift_workplace__zh_TW__workplace_drama__series02,financial_anxiety,年終獎金的代價,陈静心,False,False,True
career_lift_workplace,workplace_drama,career_lift_workplace__zh_TW__workplace_drama__series03,burnout,提案前一夜,张风兮,False,False,True
cognitive_clarity,dark_fantasy,cognitive_clarity__zh_TW__dark_fantasy__series01,overthinking,千層迷宮的看守人,张和然,False,False,True
cognitive_clarity,dark_fantasy,cognitive_clarity__zh_TW__dark_fantasy__series02,imposter_syndrome,戴著別人面具的王,王雪然,False,False,True
cognitive_clarity,dark_fantasy,cognitive_clarity__zh_TW__dark_fantasy__series03,burnout,燃盡之塔,许雪兮,False,False,True
cognitive_clarity,psychological_thriller,cognitive_clarity__zh_TW__psychological_thriller__series01,boundaries,別越過那條白線,吴雪然,False,False,True
cognitive_clarity,psychological_thriller,cognitive_clarity__zh_TW__psychological_thriller__series02,overthinking,腦海裡的第二個聲音,陈柔然,False,False,True
cognitive_clarity,psychological_thriller,cognitive_clarity__zh_TW__psychological_thriller__series03,imposter_syndrome,假冒偵探事務所,李风兮,False,False,True
cognitive_clarity,psychological_thriller,cognitive_clarity__zh_TW__psychological_thriller__series04,burnout,燒到最後一根火柴,林柔然,False,False,True
cognitive_clarity,psychological_thriller,cognitive_clarity__zh_TW__psychological_thriller__series05,boundaries,請勿擅闖此門,吴雪然,False,False,True
cognitive_clarity,sci_fi_cyberpunk,cognitive_clarity__zh_TW__sci_fi_cyberpunk__series01,overthinking,思緒過載都市,张暖荷,False,False,True
cognitive_clarity,sci_fi_cyberpunk,cognitive_clarity__zh_TW__sci_fi_cyberpunk__series02,imposter_syndrome,贗品意識體,王安然,False,False,True
cognitive_clarity,sci_fi_cyberpunk,cognitive_clarity__zh_TW__sci_fi_cyberpunk__series03,burnout,系統即將過熱,李雪雾,False,False,True
cognitive_clarity,supernatural_mystery,cognitive_clarity__zh_TW__supernatural_mystery__series01,boundaries,畫地為牢的咒,赵柔然,False,False,True
cognitive_clarity,supernatural_mystery,cognitive_clarity__zh_TW__supernatural_mystery__series02,overthinking,想太多的降靈會,赵暖荷,False,False,True
cognitive_clarity,workplace_drama,cognitive_clarity__zh_TW__workplace_drama__series01,imposter_syndrome,頂替部長的那一天,王暖雾,False,False,True
confidence_core_romance,isekai,confidence_core_romance__zh_TW__isekai__series01,imposter_syndrome,轉生後我才是公爵替身,李界元,False,False,True
confidence_core_romance,iyashikei,confidence_core_romance__zh_TW__iyashikei__series01,self_worth,甜點櫥窗裡的倒影,沈静雾,False,False,True
confidence_core_romance,romance_josei_drama,confidence_core_romance__zh_TW__romance_josei_drama__series01,social_anxiety,隔著人群看你,黄露棉,False,False,True
confidence_core_romance,romance_josei_drama,confidence_core_romance__zh_TW__romance_josei_drama__series02,imposter_syndrome,我不是你以為的那個她,林风心,False,False,True
confidence_core_romance,romance_josei_drama,confidence_core_romance__zh_TW__romance_josei_drama__series03,self_worth,值得被你喜歡嗎,张宁荷,False,False,True
confidence_core_romance,supernatural_mystery,confidence_core_romance__zh_TW__supernatural_mystery__series01,social_anxiety,說不出口的占卜屋,陈露心,False,False,True
creative_unfold_social,action_battle,creative_unfold_social__zh_TW__action_battle__series01,social_anxiety,畫筆即是我的劍,何宁心,False,False,True
creative_unfold_social,romance_josei_drama,creative_unfold_social__zh_TW__romance_josei_drama__series01,self_worth,個展開幕前的素描,张和荷,False,False,True
creative_unfold_social,school_coming_of_age,creative_unfold_social__zh_TW__school_coming_of_age__series01,courage,美術社的逃兵,周宁兮,False,False,True
creative_unfold_social,supernatural_mystery,creative_unfold_social__zh_TW__supernatural_mystery__series01,social_anxiety,畫中走出來的人,周柔泉,False,False,True
devotion_path_shonen,action_battle,devotion_path_shonen__zh_TW__action_battle__series01,grief,為亡者點燈的劍士,陈静然,False,False,True
devotion_path_shonen,action_battle,devotion_path_shonen__zh_TW__action_battle__series02,compassion,渡眾生的最後一戰,张露荷,False,False,True
devotion_path_shonen,cultivation_martial,devotion_path_shonen__zh_TW__cultivation_martial__series01,courage,踏破萬仞的修行者,沈露溪,False,False,True
devotion_path_shonen,dark_fantasy,devotion_path_shonen__zh_TW__dark_fantasy__series01,grief,替亡靈守墓的少女,李宁然,False,False,True
devotion_path_shonen,dark_fantasy,devotion_path_shonen__zh_TW__dark_fantasy__series02,compassion,寬恕是這座城的禁咒,吴露兮,False,False,True
devotion_path_shonen,supernatural_mystery,devotion_path_shonen__zh_TW__supernatural_mystery__series01,courage,敢踏進那道光的人,何雪荷,False,False,True
digital_ground,isekai,digital_ground__zh_TW__isekai__series01,burnout,轉生成全公司最後一個員工,黄维钥,False,False,True
digital_ground,isekai,digital_ground__zh_TW__isekai__series02,imposter_syndrome,異世界冒充勇者,林异脉,False,False,True
digital_ground,iyashikei,digital_ground__zh_TW__iyashikei__series01,financial_anxiety,存款見底的咖啡館,赵暖泉,False,False,True
digital_ground,psychological_horror,digital_ground__zh_TW__psychological_horror__series01,anxiety,已讀不回的深夜,陈露兮,False,False,True
digital_ground,psychological_horror,digital_ground__zh_TW__psychological_horror__series02,somatic_healing,身體傳來的雜訊,林柔荷,False,False,True
digital_ground,psychological_horror,digital_ground__zh_TW__psychological_horror__series03,burnout,電量剩百分之一,林月雾,False,False,True
digital_ground,sci_fi_cyberpunk,digital_ground__zh_TW__sci_fi_cyberpunk__series01,imposter_syndrome,頂替帳號的人,赵柔心,False,False,True
digital_ground,sci_fi_cyberpunk,digital_ground__zh_TW__sci_fi_cyberpunk__series02,financial_anxiety,餘額不足的城市,何风棉,False,False,True
digital_ground,sci_fi_cyberpunk,digital_ground__zh_TW__sci_fi_cyberpunk__series03,anxiety,深夜通知的城市,许安棉,False,False,True
digital_ground,sci_fi_cyberpunk,digital_ground__zh_TW__sci_fi_cyberpunk__series04,somatic_healing,斷線的軀體,黄暖荷,False,False,True
digital_ground,sci_fi_cyberpunk,digital_ground__zh_TW__sci_fi_cyberpunk__series05,burnout,伺服器即將熔毀,赵月荷,False,False,True
