brand_id,genre,series_id,topic,title_zh,manga_author,written
adhd_forge_mystery,action_battle,adhd_forge_mystery__zh_CN__action_battle__series01,adhd_focus,锻火不熄,许安兮,True
adhd_forge_mystery,isekai,adhd_forge_mystery__zh_CN__isekai__series01,courage,异界铸剑师,陈异核,True
adhd_forge_mystery,psychological_thriller,adhd_forge_mystery__zh_CN__psychological_thriller__series01,self_worth,第七号嫌疑人,李露泉,True
adhd_forge_mystery,sports_competition,adhd_forge_mystery__zh_CN__sports_competition__series01,adhd_focus,百米之外的雷鸣,沈月心,True
bio_flow_healing,historical_period,bio_flow_healing__zh_CN__historical_period__series01,somatic_healing,杏林春暖时,周静兮,True
bio_flow_healing,iyashikei,bio_flow_healing__zh_CN__iyashikei__series01,overthinking,溪畔慢茶馆,王宁棉,True
bio_flow_healing,psychological_thriller,bio_flow_healing__zh_CN__psychological_thriller__series01,sleep,不眠诊室,许雪棉,True
bio_flow_healing,psychological_thriller,bio_flow_healing__zh_CN__psychological_thriller__series02,somatic_healing,脉象迷局,何风泉,True
bio_flow_healing,sci_fi_cyberpunk,bio_flow_healing__zh_CN__sci_fi_cyberpunk__series01,overthinking,义体回路噪声,黄暖兮,True
bio_flow_healing,sci_fi_cyberpunk,bio_flow_healing__zh_CN__sci_fi_cyberpunk__series02,sleep,电子羊的长夜,李宁溪,True
body_memory_shojo,dark_fantasy,body_memory_shojo__zh_CN__dark_fantasy__series01,somatic_healing,皮下有刺,陈露荷,True
body_memory_shojo,dark_fantasy,body_memory_shojo__zh_CN__dark_fantasy__series02,trauma_recovery,旧伤之冠,林风荷,True
body_memory_shojo,iyashikei,body_memory_shojo__zh_CN__iyashikei__series01,shame,晒过太阳的房间,吴风溪,True
body_memory_shojo,iyashikei,body_memory_shojo__zh_CN__iyashikei__series02,grief,留给你的那把伞,王静荷,True
body_memory_shojo,psychological_horror,body_memory_shojo__zh_CN__psychological_horror__series01,somatic_healing,镜中肌理,李露泉,True
body_memory_shojo,psychological_horror,body_memory_shojo__zh_CN__psychological_horror__series02,trauma_recovery,锁骨上的回声,沈露然,True
body_memory_shojo,supernatural_mystery,body_memory_shojo__zh_CN__supernatural_mystery__series01,shame,脸红的幽灵,陈宁雾,True
body_memory_shojo,supernatural_mystery,body_memory_shojo__zh_CN__supernatural_mystery__series02,grief,遗物招领处,张安荷,True
bright_presence_tw_seinen,historical_period,bright_presence_tw_seinen__zh_CN__historical_period__series01,social_anxiety,茶楼说书人,吴安兮,True
bright_presence_tw_seinen,iyashikei,bright_presence_tw_seinen__zh_CN__iyashikei__series01,imposter_syndrome,巷口照相馆,吴雪泉,True
bright_presence_tw_seinen,psychological_thriller,bright_presence_tw_seinen__zh_CN__psychological_thriller__series01,self_worth,镜厅独白,许柔棉,True
bright_presence_tw_seinen,romance_josei_drama,bright_presence_tw_seinen__zh_CN__romance_josei_drama__series01,social_anxiety,隔座的距离,陈露溪,True
calm_student_school,iyashikei,calm_student_school__zh_CN__iyashikei__series01,anxiety,放学后的天台,赵静然,True
calm_student_school,romance_josei_drama,calm_student_school__zh_CN__romance_josei_drama__series01,social_anxiety,前桌的侧脸,许柔泉,True
calm_student_school,school_coming_of_age,calm_student_school__zh_CN__school_coming_of_age__series01,self_worth,倒数第二排,黄露然,True
calm_student_school,supernatural_mystery,calm_student_school__zh_CN__supernatural_mystery__series01,anxiety,午夜旧校舍,王和泉,True
career_lift_workplace,iyashikei,career_lift_workplace__zh_CN__iyashikei__series01,imposter_syndrome,茶水间的灯,林宁荷,True
career_lift_workplace,romance_josei_drama,career_lift_workplace__zh_CN__romance_josei_drama__series01,social_anxiety,三十层楼的天气,吴和雾,True
career_lift_workplace,romance_josei_drama,career_lift_workplace__zh_CN__romance_josei_drama__series02,financial_anxiety,对账单与晚餐,赵安心,True
career_lift_workplace,supernatural_mystery,career_lift_workplace__zh_CN__supernatural_mystery__series01,burnout,加班楼层鬼话,沈暖棉,True
career_lift_workplace,supernatural_mystery,career_lift_workplace__zh_CN__supernatural_mystery__series02,imposter_syndrome,工牌的影子,王和雾,True
career_lift_workplace,workplace_drama,career_lift_workplace__zh_CN__workplace_drama__series01,social_anxiety,会议室没有窗,陈和然,True
career_lift_workplace,workplace_drama,career_lift_workplace__zh_CN__workplace_drama__series02,financial_anxiety,季度末的账,赵和溪,True
career_lift_workplace,workplace_drama,career_lift_workplace__zh_CN__workplace_drama__series03,burnout,升职名单,何雪溪,True
cognitive_clarity,dark_fantasy,cognitive_clarity__zh_CN__dark_fantasy__series01,overthinking,千念之渊,吴宁溪,True
cognitive_clarity,dark_fantasy,cognitive_clarity__zh_CN__dark_fantasy__series02,imposter_syndrome,戴假面的王,吴露溪,True
cognitive_clarity,dark_fantasy,cognitive_clarity__zh_CN__dark_fantasy__series03,burnout,灰烬纪元,赵和荷,True
cognitive_clarity,psychological_thriller,cognitive_clarity__zh_CN__psychological_thriller__series01,boundaries,界线之外,许宁然,True
cognitive_clarity,psychological_thriller,cognitive_clarity__zh_CN__psychological_thriller__series02,overthinking,回声房间,林和溪,True
cognitive_clarity,psychological_thriller,cognitive_clarity__zh_CN__psychological_thriller__series03,imposter_syndrome,幻影侦探社,吴雪溪,True
cognitive_clarity,psychological_thriller,cognitive_clarity__zh_CN__psychological_thriller__series04,burnout,燃尽前一夜,沈雪兮,True
cognitive_clarity,psychological_thriller,cognitive_clarity__zh_CN__psychological_thriller__series05,boundaries,红线游戏,许宁然,True
cognitive_clarity,sci_fi_cyberpunk,cognitive_clarity__zh_CN__sci_fi_cyberpunk__series01,overthinking,思绪过载,张露兮,True
cognitive_clarity,sci_fi_cyberpunk,cognitive_clarity__zh_CN__sci_fi_cyberpunk__series02,imposter_syndrome,冒名者协议,吴宁心,True
cognitive_clarity,sci_fi_cyberpunk,cognitive_clarity__zh_CN__sci_fi_cyberpunk__series03,burnout,停机倒计时,陈柔棉,True
cognitive_clarity,supernatural_mystery,cognitive_clarity__zh_CN__supernatural_mystery__series01,boundaries,门后无人,张风棉,True
cognitive_clarity,supernatural_mystery,cognitive_clarity__zh_CN__supernatural_mystery__series02,overthinking,第二个我,陈和兮,True
cognitive_clarity,workplace_drama,cognitive_clarity__zh_CN__workplace_drama__series01,imposter_syndrome,冒牌主管,周静然,True
confidence_core_romance,isekai,confidence_core_romance__zh_CN__isekai__series01,imposter_syndrome,异世界的冒牌圣女,李异符,True
confidence_core_romance,iyashikei,confidence_core_romance__zh_CN__iyashikei__series01,self_worth,面包店的清晨,赵静然,True
confidence_core_romance,romance_josei_drama,confidence_core_romance__zh_CN__romance_josei_drama__series01,social_anxiety,靠窗的第三杯,李柔然,True
confidence_core_romance,romance_josei_drama,confidence_core_romance__zh_CN__romance_josei_drama__series02,imposter_syndrome,假装很厉害的我们,许和溪,True
confidence_core_romance,romance_josei_drama,confidence_core_romance__zh_CN__romance_josei_drama__series03,self_worth,值得被爱的练习,赵月溪,True
confidence_core_romance,supernatural_mystery,confidence_core_romance__zh_CN__supernatural_mystery__series01,social_anxiety,怕生的占卜屋,吴风荷,True
creative_unfold_social,action_battle,creative_unfold_social__zh_CN__action_battle__series01,social_anxiety,登台之拳,王雪兮,True
creative_unfold_social,romance_josei_drama,creative_unfold_social__zh_CN__romance_josei_drama__series01,self_worth,画展开幕之前,王雪溪,True
creative_unfold_social,school_coming_of_age,creative_unfold_social__zh_CN__school_coming_of_age__series01,courage,社团申请书,赵安棉,True
creative_unfold_social,supernatural_mystery,creative_unfold_social__zh_CN__supernatural_mystery__series01,social_anxiety,怕人的颜料,张雪心,True
devotion_path_shonen,action_battle,devotion_path_shonen__zh_CN__action_battle__series01,grief,为亡者执剑,赵静兮,True
devotion_path_shonen,action_battle,devotion_path_shonen__zh_CN__action_battle__series02,compassion,护道者,陈安雾,True
devotion_path_shonen,cultivation_martial,devotion_path_shonen__zh_CN__cultivation_martial__series01,courage,登天问道,何和荷,True
devotion_path_shonen,dark_fantasy,devotion_path_shonen__zh_CN__dark_fantasy__series01,grief,葬花之巫,林安溪,True
devotion_path_shonen,dark_fantasy,devotion_path_shonen__zh_CN__dark_fantasy__series02,compassion,慈悲咒,林雪泉,True
devotion_path_shonen,supernatural_mystery,devotion_path_shonen__zh_CN__supernatural_mystery__series01,courage,守夜人手记,吴暖兮,True
digital_ground,isekai,digital_ground__zh_CN__isekai__series01,burnout,下线即转生,张界环,True
digital_ground,isekai,digital_ground__zh_CN__isekai__series02,imposter_syndrome,外挂人生,王域盘,True
digital_ground,iyashikei,digital_ground__zh_CN__iyashikei__series01,financial_anxiety,顶楼出租屋,陈和泉,True
digital_ground,psychological_horror,digital_ground__zh_CN__psychological_horror__series01,anxiety,已读不回,黄柔荷,True
digital_ground,psychological_horror,digital_ground__zh_CN__psychological_horror__series02,somatic_healing,键盘下的心跳,吴月棉,True
digital_ground,psychological_horror,digital_ground__zh_CN__psychological_horror__series03,burnout,服务器不眠,王暖然,True
digital_ground,sci_fi_cyberpunk,digital_ground__zh_CN__sci_fi_cyberpunk__series01,imposter_syndrome,冒名登录,陈宁荷,True
