path	triage_verdict	sections_or_fields	empty_count	original_evidence
SOURCE_OF_TRUTH/accent_banks/quotes/adhd_focus/zh_TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	4	0	PARTIAL_UNTRANSLATED: only 6% CJK density over 1649 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/accent_banks/quotes/boundaries/zh_TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	3	0	PARTIAL_UNTRANSLATED: only 5% CJK density over 1331 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/accent_banks/quotes/burnout/zh_TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	8	0	PARTIAL_UNTRANSLATED: only 8% CJK density over 3266 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/accent_banks/quotes/compassion_fatigue/zh_TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	9	0	PARTIAL_UNTRANSLATED: only 8% CJK density over 3892 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/accent_banks/quotes/courage/zh_TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	1	0	PARTIAL_UNTRANSLATED: only 6% CJK density over 553 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/accent_banks/quotes/depression/zh_TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	4	0	PARTIAL_UNTRANSLATED: only 8% CJK density over 1713 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/accent_banks/quotes/grief/zh_TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	7	0	PARTIAL_UNTRANSLATED: only 9% CJK density over 2891 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/accent_banks/quotes/imposter_syndrome/zh_TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	10	0	PARTIAL_UNTRANSLATED: only 7% CJK density over 3935 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/accent_banks/quotes/self_worth/zh_TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	2	0	PARTIAL_UNTRANSLATED: only 4% CJK density over 894 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/accent_banks/quotes/social_anxiety/zh_TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	6	0	PARTIAL_UNTRANSLATED: only 5% CJK density over 2527 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/practice_library/locales/zh-TW/inbox/body_awareness_library_34_PRODUCTION_READY.json	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	1	0	PARTIAL_UNTRANSLATED: only 33% CJK density over 2158 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/practice_library/locales/zh-TW/inbox/meditations_library_34_PRODUCTION_READY.json	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	1	0	PARTIAL_UNTRANSLATED: only 21% CJK density over 1829 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/practice_library/locales/zh-TW/inbox/sensory_grounding_library_34_PRODUCTION_READY.json	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	1	0	PARTIAL_UNTRANSLATED: only 34% CJK density over 2182 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/teacher_banks/adi_da/approved_atoms_localized/zh-TW/EXERCISE/adi_da_EXERCISE_004_zh-TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	1	0	PARTIAL_UNTRANSLATED: only 35% CJK density over 250 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/teacher_banks/adi_da/approved_atoms_localized/zh-TW/EXERCISE/adi_da_EXERCISE_005_zh-TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	1	0	PARTIAL_UNTRANSLATED: only 38% CJK density over 290 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/teacher_banks/adi_da/approved_atoms_localized/zh-TW/EXERCISE/adi_da_EXERCISE_006_zh-TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	1	0	PARTIAL_UNTRANSLATED: only 38% CJK density over 255 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/teacher_banks/adi_da/approved_atoms_localized/zh-TW/EXERCISE/adi_da_EXERCISE_007_zh-TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	1	0	PARTIAL_UNTRANSLATED: only 39% CJK density over 269 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/teacher_banks/adi_da/approved_atoms_localized/zh-TW/EXERCISE/adi_da_EXERCISE_009_zh-TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	1	0	PARTIAL_UNTRANSLATED: only 32% CJK density over 278 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/teacher_banks/adi_da/approved_atoms_localized/zh-TW/EXERCISE/adi_da_EXERCISE_010_zh-TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	1	0	PARTIAL_UNTRANSLATED: only 33% CJK density over 306 chars -- majority English/mixed-language content
SOURCE_OF_TRUTH/teacher_banks/adi_da/approved_atoms_localized/zh-TW/EXERCISE/adi_da_EXERCISE_011_zh-TW.yaml	YAML_TEXT_OK_STRUCTURAL_FALSE_POSITIVE	1	0	PARTIAL_UNTRANSLATED: only 33% CJK density over 269 chars -- majority English/mixed-language content
