locale,market,brand,brand_locale_name,series_id,series_title,genre,is_tentpole,genre_allocation_pct,series_format,chapters_per_volume,cadence_weeks,visual_grammar,emotional_engine,serialization_engine,pacing_profile_ref,lora_plan_ref,character_pipeline_ref,pipeline_route,readiness_status,output_target_path,notes,blockers
en_US,us,stillness_press,Stillness Press,stillness_press_healing_01,,healing,true,40,web_manga,10,2,healing_iyashikei|sparse_atmosphere,restoration|tenderness|quiet_recognition,episodic_comfort|ritual_daily_life,genre_pacing.healing,brand_lora_plans.brand_style_loras.stillness_press,brand_lora_plans.character_loras.ahjan,MANGA_PIPELINE_TBD — see docs/MANGA_CATALOG_PLAN_EN_US_JA_JP_ZH_TW_ZH_CN_2026-04-28.md §7,ready,artifacts/manga/en_US/stillness_press/stillness_press_healing_01/,allocation_pct=40; series_count=4; tentpole_match; needs_title_synthesis_locale_native,
en_US,us,stillness_press,Stillness Press,stillness_press_healing_02,,healing,true,40,web_manga,10,2,healing_iyashikei|sparse_atmosphere,restoration|tenderness|quiet_recognition,episodic_comfort|ritual_daily_life,genre_pacing.healing,brand_lora_plans.brand_style_loras.stillness_press,brand_lora_plans.character_loras.ahjan,MANGA_PIPELINE_TBD — see docs/MANGA_CATALOG_PLAN_EN_US_JA_JP_ZH_TW_ZH_CN_2026-04-28.md §7,ready,artifacts/manga/en_US/stillness_press/stillness_press_healing_02/,allocation_pct=40; series_count=4; tentpole_match; needs_title_synthesis_locale_native,
en_US,us,stillness_press,Stillness Press,stillness_press_healing_03,,healing,true,40,web_manga,10,2,healing_iyashikei|sparse_atmosphere,restoration|tenderness|quiet_recognition,episodic_comfort|ritual_daily_life,genre_pacing.healing,brand_lora_plans.brand_style_loras.stillness_press,brand_lora_plans.character_loras.ahjan,MANGA_PIPELINE_TBD — see docs/MANGA_CATALOG_PLAN_EN_US_JA_JP_ZH_TW_ZH_CN_2026-04-28.md §7,ready,artifacts/manga/en_US/stillness_press/stillness_press_healing_03/,allocation_pct=40; series_count=4; tentpole_match; needs_title_synthesis_locale_native,
en_US,us,stillness_press,Stillness Press,stillness_press_healing_04,,healing,true,40,web_manga,10,2,healing_iyashikei|sparse_atmosphere,restoration|tenderness|quiet_recognition,episodic_comfort|ritual_daily_life,genre_pacing.healing,brand_lora_plans.brand_style_loras.stillness_press,brand_lora_plans.character_loras.ahjan,MANGA_PIPELINE_TBD — see docs/MANGA_CATALOG_PLAN_EN_US_JA_JP_ZH_TW_ZH_CN_2026-04-28.md §7,ready,artifacts/manga/en_US/stillness_press/stillness_press_healing_04/,allocation_pct=40; series_count=4; tentpole_match; needs_title_synthesis_locale_native,
en_US,us,stillness_press,Stillness Press,stillness_press_essay_01,,essay,false,12,webtoon_vertical,10,2,sparse_atmosphere|symbolic_reflection,reflection|emotional_truth|quiet_recognition,reflective_progression|episodic_comfort,genre_pacing.essay,brand_lora_plans.brand_style_loras.stillness_press,brand_lora_plans.character_loras.ahjan,MANGA_PIPELINE_TBD — see docs/MANGA_CATALOG_PLAN_EN_US_JA_JP_ZH_TW_ZH_CN_2026-04-28.md §7,ready,artifacts/manga/en_US/stillness_press/stillness_press_essay_01/,allocation_pct=12; series_count=1; needs_title_synthesis_locale_native,
en_US,us,stillness_press,Stillness Press,stillness_press_slice_of_life_01,,slice_of_life,false,10,webtoon_vertical,10,2,sparse_atmosphere|everyday_warmth,restoration|quiet_recognition|warmth,ritual_daily_life|episodic_comfort,genre_pacing.healing,brand_lora_plans.brand_style_loras.stillness_press,brand_lora_plans.character_loras.ahjan,MANGA_PIPELINE_TBD — see docs/MANGA_CATALOG_PLAN_EN_US_JA_JP_ZH_TW_ZH_CN_2026-04-28.md §7,ready,artifacts/manga/en_US/stillness_press/stillness_press_slice_of_life_01/,allocation_pct=10; series_count=1; needs_title_synthesis_locale_native,
en_US,us,stillness_press,Stillness Press,stillness_press_memoir_01,,memoir,false,8,webtoon_vertical,10,2,symbolic_reflection|sparse_atmosphere|intimate_realism,reflection|emotional_truth|vulnerability,reflective_progression,genre_pacing.memoir,brand_lora_plans.brand_style_loras.stillness_press,brand_lora_plans.character_loras.ahjan,MANGA_PIPELINE_TBD — see docs/MANGA_CATALOG_PLAN_EN_US_JA_JP_ZH_TW_ZH_CN_2026-04-28.md §7,ready,artifacts/manga/en_US/stillness_press/stillness_press_memoir_01/,allocation_pct=8; series_count=1; needs_title_synthesis_locale_native,
en_US,us,stillness_press,Stillness Press,stillness_press_supernatural_everyday_01,,supernatural_everyday,false,5,webtoon_vertical,10,2,sparse_atmosphere|symbolic_reflection|ornate_fantasy,wonder|quiet_recognition|melancholy,ritual_daily_life|episodic_wonder,genre_pacing.supernatural_everyday,brand_lora_plans.brand_style_loras.stillness_press,brand_lora_plans.character_loras.ahjan,MANGA_PIPELINE_TBD — see docs/MANGA_CATALOG_PLAN_EN_US_JA_JP_ZH_TW_ZH_CN_2026-04-28.md §7,ready,artifacts/manga/en_US/stillness_press/stillness_press_supernatural_everyday_01/,allocation_pct=5; series_count=1; needs_title_synthesis_locale_native,
en_US,us,stillness_press,Stillness Press,stillness_press_graphic_medicine_01,,graphic_medicine,false,5,webtoon_vertical,10,2,moderate_clean|intimate_realism,reflection|body_awareness|hope,reflective_progression|episodic_education,genre_pacing.graphic_medicine,brand_lora_plans.brand_style_loras.stillness_press,brand_lora_plans.character_loras.ahjan,MANGA_PIPELINE_TBD — see docs/MANGA_CATALOG_PLAN_EN_US_JA_JP_ZH_TW_ZH_CN_2026-04-28.md §7,ready,artifacts/manga/en_US/stillness_press/stillness_press_graphic_medicine_01/,allocation_pct=5; series_count=1; needs_title_synthesis_locale_native,
en_US,us,stillness_press,Stillness Press,stillness_press_school_01,,school,false,4,webtoon_vertical,10,2,everyday_warmth|decorative_romance,longing|identity_becoming|belonging,slow_burn_relationship|ensemble_rotation,genre_pacing.school,brand_lora_plans.brand_style_loras.stillness_press,brand_lora_plans.character_loras.ahjan,MANGA_PIPELINE_TBD — see docs/MANGA_CATALOG_PLAN_EN_US_JA_JP_ZH_TW_ZH_CN_2026-04-28.md §7,ready,artifacts/manga/en_US/stillness_press/stillness_press_school_01/,allocation_pct=4; series_count=1; needs_title_synthesis_locale_native,
