date	branch	commit_sha	contents_summary	tar_path	tar_sha256	replay_status
2026-07-18	pearlstar_offline/lean-line-20260718	e9104455ecafc693581f190d19a0fe49477ff8fe	Wave-0 lean preservation: entrepreneurs overthinking atom repairs; check_prose_duplication; lean import/promotion scripts+tests; lean_line_*20260718 QA receipts; wave plans metadata; prompt pack 20260718_lean_line_100pct	/Users/ahjan/phoenix_workspace_archive/lean_line_v2_pilot_20260718.tgz	e77bb07e0bba74c32462097bd38a9753395aa8415f65b3d929e741ffe136ff04	HOLD-offline-no-push
2026-07-18	pearlstar_offline/lean-line-20260718	fbf3dce98f1578399513fceb180f7114a0f943b0	NEXT_BEST tip: line-edit entrepreneurs__overthinking__comparison + blind-read packet + freeze staging (not activated); parents e9104455→c58ddb22→fbf3dce98	/Users/ahjan/phoenix_workspace_archive/lean_line_v2_pilot_20260718.tgz	e77bb07e0bba74c32462097bd38a9753395aa8415f65b3d929e741ffe136ff04	HOLD-offline-no-push
2026-07-18	pearlstar_offline/lean-line-20260718	57b2a410db7116586e5b71ce77aeca85dd4b1fbd	Freeze tip: CANONICAL_LEAN_BEST_BOOK + check_lean_best_book_parity (Q-LEAN-BEST-01=A); sha256 285abbc6…	/Users/ahjan/phoenix_workspace_archive/lean_line_v2_pilot_20260718.tgz	e77bb07e0bba74c32462097bd38a9753395aa8415f65b3d929e741ffe136ff04	HOLD-offline-no-push
2026-07-18	pearlstar_offline/lean-line-20260718	2b2245c1da27dbf81605b2dd1ca729fda07cf2bd	Lane 02 source-repair scale-out: 44 English STORY the-the fixes + 3 grief place-subs; scale25 wave-bar PASS; receipt+handoff; unlocks lean-source-repair-clean	/Users/ahjan/phoenix_workspace_archive/lean_line_v2_pilot_20260718.tgz	e77bb07e0bba74c32462097bd38a9753395aa8415f65b3d929e741ffe136ff04	HOLD-offline-no-push
2026-07-18	pearlstar_offline/lean-line-20260718	de8e2e81634d074a59fc60888f9be90d1fd79b9b	Lane 03 partial: scale30 unique-PT clean through golden parity+prepublish; top-200 blocked on capacity	/Users/ahjan/phoenix_workspace_archive/lean_line_v2_pilot_20260718.tgz	e77bb07e0bba74c32462097bd38a9753395aa8415f65b3d929e741ffe136ff04	HOLD-offline-no-push
2026-07-18	pearlstar_offline/lean-line-20260718	c845ff612660af384fe78648feed040d6d44eb66	Lane 03 residual: capacity top-up ≥20 unique PT + unique-PT50 clean chord (golden+dup+import+prepublish); top-200 still blocked	/Users/ahjan/phoenix_workspace_archive/lean_line_v2_pilot_20260718.tgz	e77bb07e0bba74c32462097bd38a9753395aa8415f65b3d929e741ffe136ff04	HOLD-offline-no-push
2026-07-18	offline/oldchats-348-350-20260718	333dc7a7de668f7d79fc52a272bc877fb43f2347	Wave-0 oldchats 348-350: manga all-genres QA+repair; PearlStar mecha text/telemetry; both prompt packs; thread handoffs; config/publishing+practice_library inbox; PNGs tarred	/Users/ahjan/phoenix_workspace_archive/oldchats_348_350_renders_20260718.tgz	e8b2f17d35ac5d68786f698ee874ef1974ac06cb5ac6566d44144177b41c7f85	pushed
2026-07-18	offline/oldchats-348-350-20260718	48ec4546c713123e5db117ca2f1e688329abb4fa	Lane04 design grammars+photo_full_bleed_emotional_v1 pilot proofs; samples tarred	/Users/ahjan/phoenix_workspace_archive/oldchats_348_350_design_grammar_20260718.tgz	b37f8ba5fa3e1e993c69bf42171734f31f5cba193a3849a57c1c91777bec877b	pushed
2026-07-18	offline/oldchats-348-350-20260718	6d486730299eb2ecb6ab034a8a93daad59c61b8d	Lane03 BLOCKED: PearlStar batch stall ep001_006; smoke ep001_002 preserved	/Users/ahjan/phoenix_workspace_archive/oldchats_348_350_renders_20260718.tgz	e8b2f17d35ac5d68786f698ee874ef1974ac06cb5ac6566d44144177b41c7f85	deferred-local-land
2026-07-18	pearlstar_offline/lean-line-20260718	0417fa58283e5c39554b4aaf68e7f4258b74fd36	Lane 03 residual: capacity→205 unique PT ready + unique-PT91 clean chord (golden+dup+import+prepublish); top-200 still blocked (residual 109); GitHub-return replay note	/Users/ahjan/phoenix_workspace_archive/lean_line_v2_pilot_20260718.tgz	e77bb07e0bba74c32462097bd38a9753395aa8415f65b3d929e741ffe136ff04	HOLD-offline-no-push
