english_source	scope	atom_type	zh_tw_landed	status	simplified_char_count	simplified_chars	severity	pr5682_ownership
atoms/corporate_managers/adhd_focus/COMPRESSION/CANONICAL.txt	NON_PRODUCTION	COMPRESSION	False	DEFERRED_NON_PRODUCTION	0			
atoms/corporate_managers/adhd_focus/EXERCISE/CANONICAL.txt	NON_PRODUCTION	EXERCISE	True	LANDED_CLEAN	0			
atoms/corporate_managers/adhd_focus/HOOK/CANONICAL.txt	NON_PRODUCTION	HOOK	True	LANDED_CLEAN	0			
atoms/corporate_managers/adhd_focus/INTEGRATION/CANONICAL.txt	NON_PRODUCTION	INTEGRATION	True	LANDED_CLEAN	0			
atoms/corporate_managers/adhd_focus/PERMISSION/CANONICAL.txt	PRODUCTION	PERMISSION	True	LANDED_CLEAN	0			
atoms/corporate_managers/adhd_focus/PIVOT/CANONICAL.txt	PRODUCTION	PIVOT	True	LANDED_CLEAN	0			
atoms/corporate_managers/adhd_focus/REFLECTION/CANONICAL.txt	NON_PRODUCTION	REFLECTION	True	LANDED_CLEAN	0			
atoms/corporate_managers/adhd_focus/SCENE/CANONICAL.txt	NON_PRODUCTION	SCENE	False	DEFERRED_NON_PRODUCTION	0			
atoms/corporate_managers/adhd_focus/STORY/CANONICAL.txt	PRODUCTION	STORY	True	LANDED_CLEAN	0			
atoms/corporate_managers/adhd_focus/TAKEAWAY/CANONICAL.txt	PRODUCTION	TAKEAWAY	True	LANDED_CLEAN	0			
atoms/corporate_managers/adhd_focus/TEACHER_DOCTRINE/CANONICAL.txt	NON_PRODUCTION	TEACHER_DOCTRINE	False	DEFERRED_NON_PRODUCTION	0			
atoms/corporate_managers/adhd_focus/THREAD/CANONICAL.txt	PRODUCTION	THREAD	True	LANDED_CLEAN	0			
atoms/corporate_managers/adhd_focus/comparison/CANONICAL.txt	PRODUCTION	comparison	True	LANDED_CLEAN	0			
atoms/corporate_managers/adhd_focus/overwhelm/CANONICAL.txt	PRODUCTION	overwhelm	True	LANDED_CLEAN	0			
atoms/corporate_managers/adhd_focus/shame/CANONICAL.txt	PRODUCTION	shame	True	LANDED_CLEAN	0			
atoms/corporate_managers/anchored/PERMISSION/CANONICAL.txt	PRODUCTION	PERMISSION	True	LANDED_CLEAN	0			
atoms/corporate_managers/anchored/PIVOT/CANONICAL.txt	PRODUCTION	PIVOT	True	LANDED_CLEAN	0			
atoms/corporate_managers/anchored/STORY/CANONICAL.txt	PRODUCTION	STORY	True	LANDED_CLEAN	0			
atoms/corporate_managers/anchored/TAKEAWAY/CANONICAL.txt	PRODUCTION	TAKEAWAY	True	LANDED_CLEAN	0			
atoms/corporate_managers/anchored/THREAD/CANONICAL.txt	PRODUCTION	THREAD	True	LANDED_CLEAN	0			
atoms/corporate_managers/anchored/anxiety_comparison/CANONICAL.txt	NON_PRODUCTION	anxiety_comparison	True	LANDED_CLEAN	0			
atoms/corporate_managers/anchored/anxiety_false_alarm/CANONICAL.txt	NON_PRODUCTION	anxiety_false_alarm	True	LANDED_CLEAN	0			
atoms/corporate_managers/anchored/anxiety_grief/CANONICAL.txt	NON_PRODUCTION	anxiety_grief	True	LANDED_CLEAN	0			
